date,sp500_exret
1942-12-01,0.057236999999999996
1943-01-01,0.072134
1943-02-01,0.058203
1943-03-01,0.059104
1943-04-01,0.003288
1943-05-01,0.052398
1943-06-01,0.021389
1943-07-01,-0.053392
1943-08-01,0.015931999999999998
1943-09-01,0.027198
1943-10-01,-0.01195
1943-11-01,-0.067352
1943-12-01,0.07000500000000001
1944-01-01,0.018321999999999998
1944-02-01,0.0061790000000000005
1944-03-01,0.021113
1944-04-01,-0.012727
1944-05-01,0.048541
1944-06-01,0.054273999999999996
1944-07-01,-0.019770000000000003
1944-08-01,0.0144
1944-09-01,-0.000892
1944-10-01,0.002135
1944-11-01,0.017026
1944-12-01,0.044578
1945-01-01,0.011601
1945-02-01,0.069272
1945-03-01,-0.041885
1945-04-01,0.090224
1945-05-01,0.019740999999999998
1945-06-01,0.00218
1945-07-01,-0.021839
1945-08-01,0.059552
1945-09-01,0.046061
1945-10-01,0.030514999999999997
1945-11-01,0.04475
1945-12-01,0.010833
1946-01-01,0.069204
1946-02-01,-0.065471
1946-03-01,0.048818
1946-04-01,0.035448
1946-05-01,0.028485
1946-06-01,-0.035589
1946-07-01,-0.02765
1946-08-01,-0.069155
1946-09-01,-0.10441199999999999
1946-10-01,-0.005936
1946-11-01,-0.0041010000000000005
1946-12-01,0.046518
1947-01-01,0.021713
1947-02-01,-0.008607
1947-03-01,-0.015308
1947-04-01,-0.03986
1947-05-01,-0.00129
1947-06-01,0.053690999999999996
1947-07-01,0.039272
1947-08-01,-0.023376
1947-09-01,-0.010528
1947-10-01,0.019978
1947-11-01,-0.018233
1947-12-01,0.029984
1948-01-01,-0.038443
1948-02-01,-0.040931999999999996
1948-03-01,0.08054
1948-04-01,0.030021000000000003
1948-05-01,0.08321400000000001
1948-06-01,0.006765
1948-07-01,-0.053096000000000004
1948-08-01,0.014639000000000001
1948-09-01,-0.027416
1948-10-01,0.06964100000000001
1948-11-01,-0.098732
1948-12-01,0.035552
1949-01-01,0.001676
1949-02-01,-0.032539
1949-03-01,0.032980999999999996
1949-04-01,-0.019591
1949-05-01,-0.030423000000000002
1949-06-01,0.0007440000000000001
1949-07-01,0.061832
1949-08-01,0.0209
1949-09-01,0.026514999999999997
1949-10-01,0.02888
1949-11-01,0.019938
1949-12-01,0.050084000000000004
1950-01-01,0.018802999999999997
1950-02-01,0.018702999999999997
1950-03-01,0.0071849999999999995
1950-04-01,0.044987
1950-05-01,0.045902
1950-06-01,-0.055224
1950-07-01,0.015981
1950-08-01,0.047063
1950-09-01,0.058466
1950-10-01,0.0038840000000000003
1950-11-01,0.02133
1950-12-01,0.054325000000000005
1951-01-01,0.063805
1951-02-01,0.013545999999999999
1951-03-01,-0.018584
1951-04-01,0.047807999999999996
1951-05-01,-0.031179
1951-06-01,-0.027048
1951-07-01,0.069635
1951-08-01,0.04892
1951-09-01,0.001668
1951-10-01,-0.014921
1951-11-01,0.010288
1951-12-01,0.040615
1952-01-01,0.016267999999999998
1952-02-01,-0.026441
1952-03-01,0.051705
1952-04-01,-0.042623
1952-05-01,0.032397999999999996
1952-06-01,0.046332
1952-07-01,0.017629
1952-08-01,-0.007174
1952-09-01,-0.019685
1952-10-01,-0.0010800000000000002
1952-11-01,0.060382
1952-12-01,0.036615
1953-01-01,-0.007807
1953-02-01,-0.00894
1953-03-01,-0.024088
1953-04-01,-0.026908
1953-05-01,0.0057009999999999995
1953-06-01,-0.016066
1953-07-01,0.024814
1953-08-01,-0.051801
1953-09-01,0.0005870000000000001
1953-10-01,0.049746
1953-11-01,0.022963
1953-12-01,0.00041299999999999996
1954-01-01,0.052386
1954-02-01,0.012216000000000001
1954-03-01,0.029730000000000003
1954-04-01,0.047458
1954-05-01,0.042277
1954-06-01,0.0018670000000000002
1954-07-01,0.058201
1954-08-01,-0.026394
1954-09-01,0.0816
1954-10-01,-0.018567
1954-11-01,0.095174
1954-12-01,0.053488
1955-01-01,0.017276
1955-02-01,0.012626
1955-03-01,-0.003242
1955-04-01,0.038843
1955-05-01,0.005033
1955-06-01,0.0803
1955-07-01,0.056646
1955-08-01,-0.002248
1955-09-01,0.009685999999999998
1955-10-01,-0.032268
1955-11-01,0.08612500000000001
1955-12-01,-0.0021089999999999998
1956-01-01,-0.037257
1956-02-01,0.039497000000000004
1956-03-01,0.068828
1956-04-01,-0.002537
1956-05-01,-0.060714000000000004
1956-06-01,0.03691
1956-07-01,0.049227
1956-08-01,-0.034488
1956-09-01,-0.045822
1956-10-01,0.004118999999999999
1956-11-01,-0.003921
1956-12-01,0.033884
1957-01-01,-0.042938000000000004
1957-02-01,-0.027319
1957-03-01,0.021527
1957-04-01,0.044038
1957-05-01,0.036134
1957-06-01,-0.0031049999999999997
1957-07-01,0.006747
1957-08-01,-0.051498
1957-09-01,-0.060479
1957-10-01,-0.041734
1957-11-01,0.020902999999999998
1957-12-01,-0.039821999999999996
1958-01-01,0.042718000000000006
1958-02-01,-0.015309
1958-03-01,0.032152
1958-04-01,0.032711
1958-05-01,0.020213
1958-06-01,0.027697999999999997
1958-07-01,0.04326
1958-08-01,0.017599
1958-09-01,0.048937
1958-10-01,0.02557
1958-11-01,0.027517
1958-12-01,0.051912
1959-01-01,0.004231
1959-02-01,0.004811
1959-03-01,0.0011519999999999998
1959-04-01,0.038054
1959-05-01,0.021431
1959-06-01,-0.003225
1959-07-01,0.032004
1959-08-01,-0.012976000000000001
1959-09-01,-0.046282
1959-10-01,0.009574
1959-11-01,0.015885999999999997
1959-12-01,0.026227
1960-01-01,-0.07323299999999999
1960-02-01,0.011022
1960-03-01,-0.016066
1960-04-01,-0.018012999999999998
1960-05-01,0.030813
1960-06-01,0.019402
1960-07-01,-0.024248
1960-08-01,0.029767000000000002
1960-09-01,-0.060313
1960-10-01,-0.0032790000000000002
1960-11-01,0.044780999999999994
1960-12-01,0.047239
1961-01-01,0.06242
1961-02-01,0.031438
1961-03-01,0.027345
1961-04-01,0.002837
1961-05-01,0.021753
1961-06-01,-0.028672999999999997
1961-07-01,0.031994999999999996
1961-08-01,0.023329999999999997
1961-09-01,-0.020374
1961-10-01,0.026274000000000002
1961-11-01,0.043726
1961-12-01,0.002796
1962-01-01,-0.039756
1962-02-01,0.018591999999999997
1962-03-01,-0.005842
1962-04-01,-0.063943
1962-05-01,-0.082247
1962-06-01,-0.082669
1962-07-01,0.062503
1962-08-01,0.019369
1962-09-01,-0.050915999999999996
1962-10-01,0.005812999999999999
1962-11-01,0.106268
1962-12-01,0.013234
1963-01-01,0.047867
1963-02-01,-0.026489
1963-03-01,0.034281000000000006
1963-04-01,0.04657
1963-05-01,0.017274
1963-06-01,-0.020905
1963-07-01,-0.004521
1963-08-01,0.050966
1963-09-01,-0.013101999999999999
1963-10-01,0.031925
1963-11-01,-0.007187
1963-12-01,0.023165
1964-01-01,0.024391
1964-02-01,0.014414999999999999
1964-03-01,0.014132
1964-04-01,0.003292
1964-05-01,0.014215
1964-06-01,0.015084
1964-07-01,0.01591
1964-08-01,-0.014421
1964-09-01,0.027599
1964-10-01,0.0058449999999999995
1964-11-01,-0.0013019999999999998
1964-12-01,0.002128
1965-01-01,0.031991000000000006
1965-02-01,0.0007460000000000001
1965-03-01,-0.015813
1965-04-01,0.032512
1965-05-01,-0.006222
1965-06-01,-0.050379999999999994
1965-07-01,0.011386
1965-08-01,0.02426
1965-09-01,0.030266
1965-10-01,0.025712000000000002
1965-11-01,-0.007320999999999999
1965-12-01,0.007049000000000001
1966-01-01,0.001905
1966-02-01,-0.01625
1966-03-01,-0.026841
1966-04-01,0.018758
1966-05-01,-0.05324
1966-06-01,-0.01818
1966-07-01,-0.015628999999999997
1966-08-01,-0.07575000000000001
1966-09-01,-0.010244
1966-10-01,0.043833
1966-11-01,0.007223
1966-12-01,-0.003674
1967-01-01,0.074915
1967-02-01,0.003914
1967-03-01,0.037237
1967-04-01,0.040171
1967-05-01,-0.050109999999999995
1967-06-01,0.016619
1967-07-01,0.043354000000000004
1967-08-01,-0.009924
1967-09-01,0.030614999999999996
1967-10-01,-0.031348
1967-11-01,0.002835
1967-12-01,0.023778999999999998
1968-01-01,-0.045875
1968-02-01,-0.0308
1968-03-01,0.005896
1968-04-01,0.079792
1968-05-01,0.011874
1968-06-01,0.0056159999999999995
1968-07-01,-0.022244
1968-08-01,0.012215
1968-09-01,0.035051
1968-10-01,0.004186999999999999
1968-11-01,0.04938
1968-12-01,-0.045126
1969-01-01,-0.012847
1969-02-01,-0.046921
1969-03-01,0.030247000000000003
1969-04-01,0.017471
1969-05-01,-0.0009459999999999998
1969-06-01,-0.059457
1969-07-01,-0.063932
1969-08-01,0.040728
1969-09-01,-0.030141
1969-10-01,0.0409
1969-11-01,-0.034352
1969-12-01,-0.023322
1970-01-01,-0.08139800000000001
1970-02-01,0.053321
1970-03-01,-0.0028939999999999994
1970-04-01,-0.093831
1970-05-01,-0.059989
1970-06-01,-0.054832
1970-07-01,0.07032300000000001
1970-08-01,0.044478000000000004
1970-09-01,0.029301999999999995
1970-10-01,-0.013632
1970-11-01,0.049787
1970-12-01,0.054484
1971-01-01,0.039028
1971-02-01,0.010017000000000002
1971-03-01,0.036067999999999996
1971-04-01,0.034165
1971-05-01,-0.04005
1971-06-01,-0.001261
1971-07-01,-0.044827000000000006
1971-08-01,0.037335999999999994
1971-09-01,-0.008738
1971-10-01,-0.043829
1971-11-01,-0.0008020000000000002
1971-12-01,0.08418
1972-01-01,0.016188
1972-02-01,0.027721000000000003
1972-03-01,0.004615
1972-04-01,0.002576
1972-05-01,0.019019
1972-06-01,-0.023056
1972-07-01,0.00014500000000000016
1972-08-01,0.036525
1972-09-01,-0.006677000000000001
1972-10-01,0.006878
1972-11-01,0.046597
1972-12-01,0.009963
1973-01-01,-0.021152
1973-02-01,-0.037918
1973-03-01,-0.005693
1973-04-01,-0.045264
1973-05-01,-0.01905
1973-06-01,-0.010278
1973-07-01,0.032728
1973-08-01,-0.038544
1973-09-01,0.035419
1973-10-01,-0.006188000000000001
1973-11-01,-0.11282
1973-12-01,0.011571000000000001
1974-01-01,-0.01442
1974-02-01,-0.0038079999999999998
1974-03-01,-0.027418
1974-04-01,-0.045149
1974-05-01,-0.034395999999999996
1974-06-01,-0.018816
1974-07-01,-0.083698
1974-08-01,-0.088177
1974-09-01,-0.125611
1974-10-01,0.16301300000000002
1974-11-01,-0.051088
1974-12-01,-0.025020999999999998
1975-01-01,0.11781
1975-02-01,0.06316000000000001
1975-03-01,0.019914
1975-04-01,0.045024
1975-05-01,0.046793
1975-06-01,0.04212
1975-07-01,-0.070304
1975-08-01,-0.020463
1975-09-01,-0.03755
1975-10-01,0.059254999999999995
1975-11-01,0.025989
1975-12-01,-0.015285
1976-01-01,0.115443
1976-02-01,-0.009156000000000001
1976-03-01,0.028640000000000002
1976-04-01,-0.01381
1976-05-01,-0.011816
1976-06-01,0.039659
1976-07-01,-0.011902
1976-08-01,-0.002601
1976-09-01,0.020021
1976-10-01,-0.024311
1976-11-01,-0.005041
1976-12-01,0.049775
1977-01-01,-0.053253999999999996
1977-02-01,-0.019138
1977-03-01,-0.016302
1977-04-01,-0.003159
1977-05-01,-0.018764
1977-06-01,0.043775999999999995
1977-07-01,-0.019653
1977-08-01,-0.01671
1977-09-01,-0.005125
1977-10-01,-0.046884
1977-11-01,0.031752
1977-12-01,0.0006700000000000005
1978-01-01,-0.065543
1978-02-01,-0.02086
1978-03-01,0.021625000000000002
1978-04-01,0.083564
1978-05-01,0.008619
1978-06-01,-0.021977999999999998
1978-07-01,0.051373999999999996
1978-08-01,0.028040999999999996
1978-09-01,-0.011363
1978-10-01,-0.09637
1978-11-01,0.019771
1978-12-01,0.008825999999999997
1979-01-01,0.034997
1979-02-01,-0.035949
1979-03-01,0.049261
1979-04-01,-0.003817
1979-05-01,-0.025018
1979-06-01,0.032223999999999996
1979-07-01,0.004350999999999999
1979-08-01,0.054165000000000005
1979-09-01,-0.006884
1979-10-01,-0.07425999999999999
1979-11-01,0.042877
1979-12-01,0.008839999999999999
1980-01-01,0.053308
1980-02-01,-0.0062889999999999995
1980-03-01,-0.109618
1980-04-01,0.029794
1980-05-01,0.047459999999999995
1980-06-01,0.023621999999999997
1980-07-01,0.0629
1980-08-01,0.007054
1980-09-01,0.020435000000000002
1980-10-01,0.008308999999999999
1980-11-01,0.10031
1980-12-01,-0.043734
1981-01-01,-0.05377
1981-02-01,0.010567
1981-03-01,0.026185
1981-04-01,-0.031011
1981-05-01,-0.004961
1981-06-01,-0.021755000000000004
1981-07-01,-0.011686
1981-08-01,-0.06834
1981-09-01,-0.06286599999999999
1981-10-01,0.040015
1981-11-01,0.033127
1981-12-01,-0.035759
1982-01-01,-0.023367
1982-02-01,-0.059641
1982-03-01,-0.016605
1982-04-01,0.03025
1982-05-01,-0.040105
1982-06-01,-0.025379
1982-07-01,-0.030699000000000004
